"","x"
"1","LLOYD"
"2","CHINA/OLD TOWN"
"3","DOWNTOWN"
"4","SOUTH PORTLAND"
"5","ELIOT"
"6","BUCKMAN-WEST"
"7","COLLINS VIEW"
"8","KERNS"
"9","HOSFRD-ABRNETHY"
"10","S BURLINGAME"
"11","KING"
"12","WOODLAWN"
"13","SELLWD-MORELAND"
"14","SOUTHWEST HILLS"
"15","IRVINGTON"
"16","BROOKLYN"
"17","PEARL"
"18","SABIN"
"19","HOMESTEAD"
"20","MARSHALL PARK"
"21","SULLIVANS GULCH"
"22","VERNON"
"23","BUCKMAN-EAST"
"24","HILLSDALE"
"25","GOOSE HOLLOW"
"26","MARKHAM"
"27","NORTHWEST"
"28","ARNOLD CREEK"
"29","ALAMEDA"
"30","MULTNOMAH"
"31","CONCORDIA"
"32","REED"
"33","GRANT PARK"
"34","NORTHWEST IND"
"35","CRSTN-KENILWTH"
"36","SUNNYSIDE"
"37","RICHMOND"
"38","EASTMORELAND"
"39","LAURELHURST"
"40","HAYHURST"
"41","BEAUMONT-WILSHR"
"42","SUNDERLAND"
"43","W PORTLAND PARK"
"44","HOLLYWOOD"
"45","ARDENWALD"
"46","BRIDLEMILE"
"47","WOODSTOCK"
"48","CULLY"
"49","NORTH TABOR"
"50","BRENTWD-DARLNGT"
"51","ROSE CITY PARK"
"52","MT TABOR"
"53","MAPLEWOOD"
"54","CRESTWOOD"
"55","SOUTH TABOR"
"56","FOSTER-POWELL"
"57","ASHCREEK"
"58","SYLVAN-HIGHLNDS"
"59","MT SCOTT-ARLETA"
"60","ROSEWAY"
"61","MADISON SOUTH"
"62","MONTAVILLA"
"63","SUMNER"
"64","POWELHST-GILBRT"
"65","LENTS"
"66",""
"67","PARKROSE"
"68","HAZELWOOD"
"69","WOODLAND PARK"
"70","PARKROSE HGTS"
"71","MILL PARK"
"72","PLEASANT VALLEY"
"73","RUSSELL"
"74","ARGAY"
"75","WILKES"
"76","CENTENNIAL"
"77","GLENFAIR"
"78","GRESHAM - ROCKWOOD GROUP"
"79","GRESHAM - CENTENNIAL EAST"
"80","PIEDMONT"
"81","OVERLOOK"
"82","ARBOR LODGE"
"83","PORTSMOUTH"
"84","HUMBOLDT"
"85","BOISE"
"86","ST JOHNS"
"87","CATHEDRAL PARK"
"88","UNIVERSITY PARK"
"89","KENTON"
"90","HILLSIDE"
"91","FAR SOUTHWEST"
"92","FOREST PARK"
"93","HEALY HEIGHTS"
"94","BRIDGETON"
"95","E COLUMBIA"
"96","GRESHAM - NORTH GRESHAM"
"97","LINNTON"
"98","HAYDEN ISLAND"
"99","GRESHAM - POWELL VALLEY"
"100","CENTRAL BEAVERTON"
"101","NORTHWEST HTS"
"102","GRESHAM - WILKES EAST"
"103","GRESHAM - NORTHEAST GRESH"
"104","GRESHAM - DOWNTOWN"
"105","GRESHAM - KELLY CREEK"
"106","ARLINGTON HGHTS"
"107","BEAVERTON - FIVE OAKS 3C"
"108","DWRW"
"109","LKOS - FIRST ADDITION"
"110","LKOS - EVERGREEN"
"111","GRESHAM - A.S.E.R.T."
"112","GRESHAM - MT. HOOD"
"113","LKOS - LAKE GROVE"
"114","GRESHAM - NORTH CENTRAL"
"115","WSLOT"
"116","GRESHAM - GRESHAM BUTTE"
"117","GRESHAM - SOUTHWEST GRESH"
