"","x"
"1","ST. JOHNS"
"2","HAYDEN ISLAND"
"3","LINNTON"
"4","FOREST PARK/LINNTON"
"5","KENTON"
"6","FOREST PARK"
"7","BRIDGETON"
"8","EAST COLUMBIA"
"9","MC UNCLAIMED #2"
"10","CATHEDRAL PARK"
"11","SUNDERLAND"
"12","PORTSMOUTH"
"13","MC UNCLAIMED #1"
"14","UNIVERSITY PARK"
"15","NORTHWEST INDUSTRIAL"
"16","PIEDMONT"
"17","WOODLAWN"
"18","CULLY"
"19","ARBOR LODGE"
"20","OVERLOOK"
"21","CONCORDIA"
"22","PARKROSE"
"23","SUMNER"
"24","ARGAY"
"25","HUMBOLDT"
"26","KING"
"27","VERNON"
"28","WILKES"
"29","BEAUMONT-WILSHIRE"
"30","SABIN"
"31","ALAMEDA"
"32","BOISE"
"33","NORTHWEST HEIGHTS"
"34","ROSEWAY"
"35","MAYWOOD PARK"
"36","MADISON SOUTH"
"37","ARGAY/WILKES"
"38","BOISE/ELIOT"
"39","ELIOT"
"40","IRVINGTON"
"41","SABIN/IRVINGTON"
"42","ALAMEDA/IRVINGTON"
"43","ROSE CITY PARK"
"44","PARKROSE HEIGHTS"
"45","NORTHWEST DISTRICT"
"46","ALAMEDA/BEAUMONT-WILSHIRE"
"47","NORTHWEST DISTRICT/NORTHWEST INDUSTRIAL"
"48","FOREST PARK/NORTHWEST DISTRICT"
"49","RUSSELL"
"50","ROSEWAY/MADISON SOUTH"
"51","GRANT PARK"
"52","MC UNCLAIMED #5"
"53","PEARL"
"54","GRANT PARK/HOLLYWOOD"
"55","HOLLYWOOD"
"56","WOODLAND PARK"
"57","LLOYD DISTRICT"
"58","SULLIVAN'S GULCH"
"59","MC UNCLAIMED #6"
"60","MONTAVILLA"
"61","LAURELHURST"
"62","HILLSIDE/NORTHWEST DISTRICT"
"63","KERNS"
"64","LLOYD DISTRICT/SULLIVAN'S GULCH"
"65","HILLSIDE"
"66","NORTH TABOR"
"67","HAZELWOOD"
"68","OLD TOWN/CHINATOWN"
"69","ARLINGTON HEIGHTS"
"70","GOOSE HOLLOW"
"71","GLENFAIR"
"72","ARLINGTON HEIGHTS/SYLVAN-HIGHLANDS"
"73","BUCKMAN"
"74","DOWNTOWN"
"75","MT. TABOR"
"76","SYLVAN-HIGHLANDS"
"77","GOOSE HOLLOW/SOUTHWEST HILLS"
"78","SOUTHWEST HILLS"
"79","SUNNYSIDE"
"80","HAZELWOOD/MILL PARK"
"81","SYLVAN-HIGHLANDS/SOUTHWEST HILLS"
"82","MILL PARK"
"83","CENTENNIAL"
"84","HOSFORD-ABERNETHY"
"85","RICHMOND"
"86","SOUTH PORTLAND"
"87","HOMESTEAD"
"88","SOUTH TABOR"
"89","BRIDLEMILE/SOUTHWEST HILLS"
"90","POWELLHURST-GILBERT"
"91","BROOKLYN ACTION CORPS"
"92","BRIDLEMILE"
"93","CRESTON-KENILWORTH"
"94","HILLSDALE"
"95","FOSTER-POWELL"
"96","LENTS"
"97","LENTS/POWELLHURST-GILBERT"
"98","HEALY HEIGHTS/SOUTHWEST HILLS"
"99","CENTENNIAL/PLEASANT VALLEY"
"100","PLEASANT VALLEY"
"101","MT. SCOTT-ARLETA"
"102","SELLWOOD-MORELAND IMPROVEMENT LEAGUE"
"103","REED"
"104","WOODSTOCK"
"105","HAYHURST"
"106","EASTMORELAND/REED"
"107","EASTMORELAND"
"108","PLEASANT VALLEY/POWELLHURST-GILBERT"
"109","MAPLEWOOD"
"110","MULTNOMAH"
"111","BRENTWOOD-DARLINGTON"
"112","SOUTH BURLINGAME"
"113","ASHCREEK"
"114","MC UNCLAIMED #11"
"115","EASTMORELAND/ARDENWALD-JOHNSON CREEK"
"116","ARDENWALD-JOHNSON CREEK"
"117","MARKHAM"
"118","MARSHALL PARK"
"119","ARDENWALD-JOHNSON CREEK/WOODSTOCK"
"120","COLLINS VIEW"
"121","CRESTWOOD"
"122","ASHCREEK/CRESTWOOD"
"123","WEST PORTLAND PARK"
"124","MC UNCLAIMED #13"
"125","ARNOLD CREEK"
"126","FAR SOUTHWEST"
